Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Mitotic Sister Chromatid Segregation (GO:0000070)	5.662953e-18	4.611361e-15	0	0	2.081717e+01	8.267037e+02	SPAG5;PLK1;KIF14;CDCA8;NCAPG;KIF23;KIF11;NDC80;SGO1;TPX2;CENPE;CCNB1;KIF18B;CENPI;CENPK;KNTC1;KIF2C;CEP55;DLGAP5
GO_Biological_Process_2023	Spindle Assembly Checkpoint Signaling (GO:0071173)	1.163750e-17	4.611361e-15	0	0	8.402541e+01	3.276344e+03	CDC20;CENPF;NUF2;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;NDC80;SPC24;MAD2L1
GO_Biological_Process_2023	Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	1.163750e-17	4.611361e-15	0	0	8.402541e+01	3.276344e+03	CDC20;CENPF;NUF2;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;NDC80;SPC24;MAD2L1
GO_Biological_Process_2023	Mitotic Spindle Checkpoint Signaling (GO:0071174)	1.163750e-17	4.611361e-15	0	0	8.402541e+01	3.276344e+03	CDC20;CENPF;NUF2;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;NDC80;SPC24;MAD2L1
GO_Biological_Process_2023	Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)	3.597997e-17	1.140565e-14	0	0	7.351819e+01	2.783661e+03	CDC20;CENPF;NUF2;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;NDC80;SPC24;MAD2L1
GO_Biological_Process_2023	Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)	2.868791e-14	7.578389e-12	0	0	2.837201e+01	8.847046e+02	STIL;PLK1;CDCA8;TTK;KIF11;NDC80;CENPE;CCNB1;KIF4A;NUF2;CDK1;BIRC5;DLGAP5
GO_Biological_Process_2023	Mitotic Spindle Organization (GO:0007052)	2.293675e-13	5.193536e-11	0	0	1.968184e+01	5.728095e+02	STIL;PLK1;CDCA8;KIF23;TTK;KIF11;NDC80;CENPE;TPX2;CCNB1;KIF4A;NUF2;BIRC5;DLGAP5
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle Process (GO:0090068)	2.739558e-11	5.427750e-09	0	0	1.323499e+01	3.218834e+02	PLK4;STIL;SPAG5;KIF14;CDCA8;NCAPG;KIF23;CDC6;NDC80;BIRC5;ECT2;E2F7;E2F8;MAD2L1
GO_Biological_Process_2023	Sister Chromatid Segregation (GO:0000819)	5.481625e-11	9.653751e-09	0	0	3.499701e+01	8.268755e+02	TOP2A;SGO1;KIF18B;SPAG5;CENPI;PLK1;CENPK;KNTC1;NDC80
GO_Biological_Process_2023	Mitotic Nuclear Division (GO:0140014)	8.372147e-10	1.326985e-07	0	0	2.429612e+01	5.078118e+02	SGO1;KIF18B;SPAG5;UBE2C;CENPI;PLK1;CENPK;KNTC1;NDC80
