Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2024_Human	Gastric Cancer Network 1 WP2361	1.497813e-12	5.062607e-10	0	0	5.834439e+01	1.588543e+03	TOP2A;TPX2;CENPF;UBE2C;MCM4;MYBL2;ECT2;E2F7;KIF15
WikiPathways_2024_Human	Retinoblastoma Gene In Cancer WP2446	6.086124e-12	1.028555e-09	0	0	1.747612e+01	4.513210e+02	TOP2A;PLK4;RRM2;TTK;CCNA2;CCNB2;ANLN;CCNB1;KIF4A;POLE2;CHEK1;CDK1;MCM4
WikiPathways_2024_Human	Cell Cycle WP179	3.449488e-11	3.886424e-09	0	0	1.298456e+01	3.128007e+02	CDKN2A;PLK1;TTK;CDC6;CDC25C;CDC20;CCNA2;CCNB2;CCNB1;ORC6;CHEK1;CDK1;MCM4;BUB1
WikiPathways_2024_Human	DNA IR Damage And Cellular Response Via ATR WP4016	1.589888e-07	1.343455e-05	0	0	1.230730e+01	1.926638e+02	RECQL4;FANCI;BRIP1;EXO1;CHEK1;PLK1;CDK1;FOXM1;CDC25C
WikiPathways_2024_Human	Regulation Sister Chromatid Sep At Meta-Anaphase Transition WP4240	2.214646e-07	1.497101e-05	0	0	5.345973e+01	8.191636e+02	CDC20;CENPE;BUB1B;BUB1;MAD2L1
WikiPathways_2024_Human	Amino Acid Metabolism In Triple Negative Breast Cancer Cells WP5213	3.805574e-05	2.143807e-03	0	0	7.180066e+01	7.306764e+02	PSAT1;SLC2A1;SLC7A11
WikiPathways_2024_Human	G1 To S Cell Cycle Control WP45	5.535416e-05	2.197969e-03	0	0	9.967529e+00	9.769932e+01	CCNB1;ORC6;CDKN2A;POLE2;CDK1;MCM4
WikiPathways_2024_Human	Primary Ovarian Insufficiency WP5461	6.937409e-05	2.197969e-03	0	0	6.340721e+00	6.071873e+01	FANCI;RECQL4;CENPE;EXO1;SALL4;XRCC2;HMMR;LGR4
WikiPathways_2024_Human	DNA Replication WP466	7.404973e-05	2.197969e-03	0	0	1.299371e+01	1.235802e+02	ORC6;POLE2;MCM4;MCM10;CDC6
WikiPathways_2024_Human	Metabolic Reprogramming In Colon Cancer WP4290	7.404973e-05	2.197969e-03	0	0	1.299371e+01	1.235802e+02	PSAT1;PPAT;SLC2A1;PYCR1;PAICS
WikiPathways_2024_Human	DNA Damage Response WP707	7.803439e-05	2.197969e-03	0	0	9.323436e+00	8.818443e+01	CCNB2;CCNB1;CHEK1;CDK1;PMAIP1;CDC25C
WikiPathways_2024_Human	miRNA Regulation Of DNA Damage Response WP1530	7.803439e-05	2.197969e-03	0	0	9.323436e+00	8.818443e+01	CCNB2;CCNB1;CHEK1;CDK1;PMAIP1;CDC25C
WikiPathways_2024_Human	Neural Crest Differentiation WP2064	9.358694e-05	2.433260e-03	0	0	7.187160e+00	6.667255e+01	TFAP2A;DMBX1;LHX2;PAX7;LHX1;TWIST1;DLL3
WikiPathways_2024_Human	Pancreatic Cancer Subtypes WP5390	1.416214e-04	3.419145e-03	0	0	1.117879e+01	9.907036e+01	S100A2;GPR87;SLC2A1;TFF1;FAM83A
WikiPathways_2024_Human	GDNF RET Signaling Axis WP4830	2.240577e-04	5.048767e-03	0	0	1.534902e+01	1.289872e+02	GREM1;SALL1;GDNF;LHX1
WikiPathways_2024_Human	Gastric Cancer Network 2 WP2363	2.919942e-04	6.168377e-03	0	0	1.421128e+01	1.156624e+02	TOP2A;FANCI;UBE2C;UBE2T
WikiPathways_2024_Human	miR 509 3P Alteration Of YAP1 ECM Axis WP3967	6.842536e-04	1.342316e-02	0	0	2.050883e+01	1.494516e+02	COL3A1;TWIST1;THBS2
WikiPathways_2024_Human	ATM Signaling WP2516	7.148426e-04	1.342316e-02	0	0	1.096057e+01	7.939234e+01	CCNB1;CHEK1;CDK1;CDC25C
WikiPathways_2024_Human	Purine Metabolism And Related Disorders WP4224	1.490970e-03	2.652357e-02	0	0	1.510970e+01	9.833886e+01	PPAT;PAICS;XDH
WikiPathways_2024_Human	DNA Repair Pathways Full Network WP4946	1.588018e-03	2.683750e-02	0	0	5.108331e+00	3.292456e+01	FANCI;NEIL3;BRIP1;EXO1;POLE2;CHEK1
WikiPathways_2024_Human	Apoptosis WP254	1.881564e-03	3.028422e-02	0	0	6.078628e+00	3.814736e+01	HELLS;CDKN2A;BIRC5;PMAIP1;TNFRSF25
WikiPathways_2024_Human	Apoptosis Modulation And Signaling WP1772	2.195700e-03	3.373394e-02	0	0	5.855756e+00	3.584457e+01	BCL2L10;CDKN2A;BIRC5;PMAIP1;TNFRSF25
WikiPathways_2024_Human	DNA IR Double Strand Breaks And Cellular Response Via ATM WP3959	2.431763e-03	3.573635e-02	0	0	7.669235e+00	4.616219e+01	EXO1;CDKN2A;CHEK1;CDC25C
WikiPathways_2024_Human	Metabolic Epileptic Disorders WP5355	2.546403e-03	3.586185e-02	0	0	5.648615e+00	3.373959e+01	PSAT1;SLC2A1;SFXN1;SLC2A5;XDH
WikiPathways_2024_Human	P53 Transcriptional Gene Network WP4963	2.671840e-03	3.612328e-02	0	0	5.582780e+00	3.307790e+01	SLC2A1;PMAIP1;SLC7A11;CDC25C;E2F7
WikiPathways_2024_Human	Glucose Metabolism In Triple Negative Breast Cancer Cells WP5211	2.907400e-03	3.779621e-02	0	0	3.182590e+01	1.858790e+02	SLC2A1;PDK1
